Muhammad Risky,muhammadriski@iqis.sch.id,085220078810,085220078810,iqis@2023,Laki-Laki,0009321234,7371072502010003,8371072502010003,Makassar,2002-02-25,2075/K/2002,Islam,WNI,Indonesia,2,Tidak,Tidak,Tidak,Sudah Mampu
Aldi,aldi@iqis.sch.id,085220078811,085220078811,iqis@2023,Laki-Laki,0009321235,7371072502010004,8371072502010004,Gowa,2001-03-27,2075/K/2001,Islam,WNI,Indonesia,3,Tidak,Ya,Ya,Sudah Mampu
Ridwan,ridwan01@iqis.sch.id,085220078812,085220078812,iqis@2023,Laki-Laki,0009321236,7371072502010005,8371072502010005,Takalar,2002-03-03,2075/K/2002,Islam,WNI,Indonesia,4,Tidak,Tidak,Tidak,Sudah Mampu
Siti Khumairah,skhumairah@iqis.sch.id,085220078813,085220078813,iqis@2023,Perempuan,0009321237,7371072502010006,8371072502010006,Jeneponto,2002-05-11,2075/K/2002,Islam,WNI,Indonesia,2,Tidak,Tidak,Tidak,Sudah Mampu
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,
